Nr.,Pardavimo s?skaitos data,Pardavimo s?skaitos serija,Kodas,Pavadinimas,Kiekis be mato,Matas,Kiekis,Pardavimo s?skaitos grup?,Pardavimo suma be PVM
740803.00,2018-11-16,AKU-1825369,A9424920140,Duslintuvo apkaba prie bakelio (naudota),1.00,vnt.,1.00 vnt.,Kauno servisas,2.00
744761.00,2018-11-13,AKU-1824988,MP101KBAK,Kuro bakas Pastabos Neorginal MP101 (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,279.00
745587.00,2018-11-14,AKU-1825113,332004T,Dantratis 12/40 1318,1.00,vnt.,1.00 vnt.,Vilniaus servisas,4.09
749716.00,2018-11-15,AKU-1825178,A0034315706,Keturi? kont?r? apsauginis vožtuvas WABCO(naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,110.00
755520.00,2018-11-17,AKU-1825393,A9438851422,Grotel?s pr. bamperio k.p. spoilerio MP3,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,6.17
756036.00,2018-11-14,AKU-1825155,97250,Varžtas M 5x20 BERNER,4.00,vnt.,4.00 vnt.,Klaip?dos servisas,0.45
756761.00,2018-11-14,AKU-1825113,332003T,Dantratis 15/36 1318,1.00,vnt.,1.00 vnt.,Vilniaus servisas,7.73
764209.00,2018-11-15,AKU-1825224,QXVK62516545,Laid? pyn? žibint? MP3-10 (naudota),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,90.00
765982.00,2018-11-13,AKU-1824988,LX 507,Oro filtras ACTROS be dang.  MAHLE,1.00,vnt.,1.00 vnt.,Kauno servisas,54.49
766639.00,2018-11-14,AKU-1825158,A6209970490,Apkaba duslintuvo 75mm,1.00,vnt.,1.00 vnt.,Vilniaus servisas,12.86
767158.00,2018-11-13,AKU-1824988,A9438810011,Laikiklis (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,18.60
768285.00,2018-11-15,AKU-1825182,1322685A,Vandens siurblys U4846 24V Thermo 90/S - D9W/D10W WEBASTO,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,100.00
770335.00,2018-11-14,AKU-1825092,14893,Rato smeig? M22x1.5-110 PE,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.87
771354.00,2018-11-16,AKU-1825318,2004005,Vairo fiksavimo vožtuvas (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,14.88
773416.00,2018-11-16,AKU-1825308,A5419900200,?siurbimo kolektoriaus varžt II eil? nuo turbinos (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,5.00
778097.00,2018-11-13,AKU-1825052,A9418900389,?ranki? d?ž?s užraktas,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,15.86
780966.00,2018-11-12,AKU-1824896,02-05-02-0117,?temp?jas diržo SKF,1.00,vnt.,1.00 vnt.,Vilniaus servisas,45.99
784056.00,2018-11-14,AKU-1825072,A0019909178,Sujungimas su sankabos oro vamzdeliu (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,3.00
784507.00,2018-11-16,AKU-1825322,A1668307201,Salono filtr? kompl. (2vnt),1.00,vnt.,1.00 vnt.,Kauno realizacija,61.16
787454.00,2018-11-14,AKU-1825150,L64193,Lemput? H4 12V 60/55W OSRAM,1.00,vnt.,1.00 vnt.,Vilniaus servisas,2.55
789385.00,2018-11-12,AKU-1824901,A0000780580,O-žiedelis 2.8x1.5mm (6),2.00,vnt.,2.00 vnt.,Šiauli? realizacija,4.28
795748.00,2018-11-14,AKU-1825107,A9608690766,Antgalis lango plov. žarnos (naudotas)PJM,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,0.30
799485.00,2018-11-12,AKU-1824924,A5411300890,Oro kompresoriaus bakelis (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,57.00
800641.00,2018-11-16,AKU-1825291,1322924A,Degiklis AT2000 ,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,56.39
803009.00,2018-11-16,AKU-1825291,1322924A,Degiklis AT2000 ,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,56.39
803922.00,2018-11-17,DKS-0008121,A0030940882,Žarna interkulerio raudona(naudota),1.00,vnt.,1.00 vnt.,Kauno realizacija,19.83
804327.00,2018-11-13,AKU-1825031,A0015458213,Pagalvi? reguliavimo pultelis (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,50.00
804474.00,2018-11-15,AKU-1825228,QXVK63,Variklio laid? pyn? apatin? MP3-11 (naudota),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,92.00
805545.00,2018-11-18,AKU-1825434,26228,?vor? pr. stabilizatoriaus vidin? 36x60-47 FEBI,2.00,vnt.,2.00 vnt.,Šiauli? servisas,5.78
805571.00,2018-11-16,AKU-1825291,1322924A,Degiklis AT2000 ,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,56.39
807199.00,2018-11-15,AKU-1825240,07940,Rato smeig? FEBI,4.00,vnt.,4.00 vnt.,Vilniaus realizacija,8.66
809122.00,2018-11-18,AKU-1825408,12249,Gabaritinis žibintas baltas 80x24 FRISTOM,1.00,kompl.,1.00 kompl.,Vilniaus servisas,5.62
810049.00,2018-11-12,AKU-1824980,A0075426018,Pagalvi? sl?gio daviklis MP4-1 (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,60.00
811452.00,2018-11-15,AKU-1825265,7498,Poveržl? M14 BERNER,1.00,vnt.,1.00 vnt.,Kauno servisas,0.24
811808.00,2018-11-12,AKU-1824925,A4712001052,Vamzdelis MP4-1 (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,10.00
811929.00,2018-11-16,AKU-1825330,16-03-01-0065,Kaitinimo strypas AT2000 24V WEBASTO,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,50.37
814712.00,2018-11-16,AKU-1825362,A6110980280,Tarpin?,2.00,vnt.,2.00 vnt.,Kauno realizacija,12.30
815054.00,2018-11-13,AKU-1825028,A0014465035,*Variklio valdymo blokas E6 MP4-1 420hp(naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,1288.00
815113.00,2018-11-12,AKU-1824903,A0008204908,@!Varikliukas stiklo pak?limo k.p.,1.00,vnt.,1.00 vnt.,Kauno servisas,181.52
815633.00,2018-11-14,AKU-1825107,A9608690766,Antgalis lango plov. žarnos (naudotas)PJM,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,0.60
815920.00,2018-11-15,AKU-1825208,43152F,Vandens siurblys U4814 N,1.00,vnt.,1.00 vnt.,Vilniaus servisas,154.26
815933.00,2018-11-14,AKU-1825111,9021769A,Perkaitimo ir temp. daviklis su laidu TT. Thermo PRO 50 ECO (jungtis ovali 4kont.) WEBASTO,2.00,vnt.,2.00 vnt.,Kauno realizacija,45.62
819194.00,2018-11-14,AKU-1825111,1320294A,Kuro siurblys HL24/32.DW80/T90 24V ,1.00,vnt.,1.00 vnt.,Kauno realizacija,75.35
821269.00,2018-11-18,AKU-1825431,406864,Varžtas M16x130 931-10.9,2.00,vnt.,2.00 vnt.,Šiauli? servisas,4.46
821507.00,2018-11-18,AKU-1825431,A0034604980,Kuro/vairo stipr. siurblys IXETIC  MP3-10(naudotas)PJM,1.00,vnt.,1.00 vnt.,Šiauli? servisas,142.50
827302.00,2018-11-17,AKU-1825372,A9605202811,Gal.sparno galinis laikiklis (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,57.00
828157.00,2018-11-16,AKU-1825324,KX 68D ECO ,Kuro filtras MAHLE,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,4.60
828888.00,2018-11-18,AKU-1825434,10144,?vor? stabilizatoriaus šonin? 17x40-34 FEBI,1.00,vnt.,1.00 vnt.,Šiauli? servisas,1.82
831335.00,2018-11-12,AKU-1824892,A0008694021,Lang? apiplovimo siurblys (naudota),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,9.50
832359.00,2018-11-14,AKU-1825146,723051,Žibintas diodinis numerio apšv. did. 24V,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,7.89
832377.00,2018-11-14,AKU-1825114,A0009906703,Varžtas L20,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,1.80
833097.00,2018-11-14,AKU-1825111,1320294A,Kuro siurblys HL24/32.DW80/T90 24V ,1.00,vnt.,1.00 vnt.,Kauno realizacija,75.35
833106.00,2018-11-16,AKU-1825291,9034036B,Degiklis su kaitinimo strypu ir davikliu AT EVO 2000 24V WEBASTO,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,258.82
833866.00,2018-11-16,DKS-0008115,A0008694021,Lang? apiplovimo siurblys (naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,9.01
834392.00,2018-11-12,AKU-1824939,A0004705193,Vožtuvas kuro bako (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,18.40
836272.00,2018-11-15,AKU-1825254,67955A,Degiklis-išgarintojas AT3500/5000D 019001 ,1.00,vnt.,1.00 vnt.,Kauno servisas,81.89
836611.00,2018-11-16,AKU-1825343,A1697800262,Šarnyras,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,36.05
837316.00,2018-11-17,AKU-1825391,161889,Varžtas M12X80 10.9,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.77
837357.00,2018-11-16,AKU-1825291,1322924A,Degiklis AT2000 ,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,56.39
837376.00,2018-11-12,AKU-1824883,A1020180402,Dangtelis 0000100285 (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,2.76
837542.00,2018-11-12,AKU-1824916,A9304900419,Duslintuvo gofra (naudota) ,1.00,vnt.,1.00 vnt.,Kauno servisas,55.20
837663.00,2018-11-15,AKU-1825253,A9472606211,Pavar? d?ž?s korpusas. priekinis (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,800.00
839266.00,2018-11-18,AKU-1825422,12378,T?tel? plokš. M?L 6.3mm BERNER,8.00,vnt.,8.00 vnt.,Klaip?dos servisas,2.21
840510.00,2018-11-15,AKU-1825263,14-04-02-0142,Sl?gio daviklis WABCO,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,97.86
842726.00,2018-11-16,AKU-1825303,252113100100,Degiklis Airtronic D4 EBERSPACHER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,103.04
842910.00,2018-11-16,AKU-1825327,A9060170260,Tarpin? po purkštuku,4.00,vnt.,4.00 vnt.,Vilniaus servisas,33.62
842956.00,2018-11-17,DKS-0008123,16-03-01-0060,Žvak?s tinkliukas D1LC-D1LCc EBERSPACHER,1.00,vnt.,1.00 vnt.,Kauno servisas,3.72
843370.00,2018-11-16,AKU-1825358,2518310101002,Žvak? (E105 20V) AKCIJA,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,18.18
843837.00,2018-11-16,AKU-1825291,1322924A,Degiklis AT2000 ,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,56.39
843959.00,2018-11-18,AKU-1825433,0986487720,Rankinio stabdžio trinkel?s Sprinter 06m-> BOSCH,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,20.70
844412.00,2018-11-12,DKS-0008097,KL5-20,!Lang? plovimo skystis žieminis. -21C  5L,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,2.07
844601.00,2018-11-12,AKU-1824883,A9605052689,Apdaila k.p. prie rad. tinkliuko (naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,7.36
845208.00,2018-11-18,AKU-1825426,251908450000,Kuro siurblys 24V D1LC-D1LCc NAUJAS EBERSPACHER,1.00,vnt.,1.00 vnt.,Šiauli? servisas,63.98
845469.00,2018-11-14,AKU-1825158,A0000901551,Kuro filtras 904LA,1.00,vnt.,1.00 vnt.,Vilniaus servisas,14.87
845986.00,2018-11-15,AKU-1825161,A4704460054,*Valdymo blokas katalizatoriaus MP4-3 PASTABOS (naudotas),1.00,vnt.,1.00 vnt.,Klaip?dos servisas,1000.00
846237.00,2018-11-15,AKU-1825240,A9608801920,Valytuv? panel?s rankena d.p (naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,7.60
847770.00,2018-11-12,DKS-0008097,REMELIS,Valstybinio numerio r?melis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,0.71
851309.00,2018-11-14,AKU-1825114,A6421420681,Tarpin? kronšteino apat. (metalin?),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,2.22
851996.00,2018-11-16,AKU-1825291,A0008694021,Lang? apiplovimo siurblys (naudota),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,9.50
852687.00,2018-11-14,AKU-1825102,A6421420781,Tarpin? kronšteino virš. (metalin?),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,2.32
855119.00,2018-11-18,AKU-1825420,A0039906568,Jungtis prie sankabos cilindro M22x1.5 (naudota),1.00,vnt.,1.00 vnt.,Kauno servisas,10.00
855182.00,2018-11-13,AKU-1825016,252178800200,Kuro siurbliukas 24V AIRT.D2-D4 DAF EBERSPACHER,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,67.32
855598.00,2018-11-14,AKU-1825069,A0018203744,Kojel? valytuvo AT(naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,18.00
856116.00,2018-11-16,AKU-1825337,46388,Smeig? išmetimo kolektoriaus OM611/612/646/651 FEBI,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.46
856263.00,2018-11-12,AKU-1824981,08-03-00-0571 ,Trikamp? trauk? TRW,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,216.76
857426.00,2018-11-13,AKU-1825022,A0028205056,*Žibintas. k.p. AT46 PASTABOS (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,6.80
858440.00,2018-11-15,AKU-1825203,A9241300457,Vamzdis (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,30.00
858656.00,2018-11-15,AKU-1825203,A9249970182,Turbinos tepalo nub?gimo žarna (naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,3.00
859428.00,2018-11-16,AKU-1825303,2521130100032,Tarpin? ventiliatoriaus D4 EBERSPACHER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,3.09
859586.00,2018-11-16,AKU-1825325,A0095450524,Daviklis dr?gm?s su naujesne jungtim MP3/4 trump. laid.,1.00,vnt.,1.00 vnt.,Kauno servisas,82.47
859654.00,2018-11-12,AKU-1824838,24-04-00-0070,Antifrizas pneumatiniams stabdžiams 1L WABCO,1.00,vnt.,1.00 vnt.,Šiauli? servisas,6.05
860597.00,2018-11-12,AKU-1824901,A0000780580,O žiedelis 2.8x1.5mm (6),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,2.14
861116.00,2018-11-12,AKU-1824838,24-04-00-0070,Antifrizas pneumatiniams stabdžiams 1L WABCO,1.00,vnt.,1.00 vnt.,Šiauli? servisas,6.05
862477.00,2018-11-12,AKU-1824885,138808,Saugiklis midi 10A raudonas BERNER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.32
862533.00,2018-11-16,AKU-1825360,A9408900191,Troselis,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,26.21
863074.00,2018-11-14,AKU-1825148,4.64430,+*Kuro/vairo stipr. siurblys 18mm DT,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,142.81
863130.00,2018-11-12,AKU-1824935,B66470202,Dangtelis,1.00,vnt.,1.00 vnt.,Kauno realizacija,6.59
864509.00,2018-11-14,AKU-1825126,26576,Vairo trauk? išilgin? FEBI,1.00,vnt.,1.00 vnt.,Šiauli? servisas,77.06
865051.00,2018-11-12,AKU-1824896,A0009922129,ABS daviklio ?vor? ir kit? davikli?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,4.84
866004.00,2018-11-13,AKU-1824995,A0005458613,Pagalvi? reguliavimo pultelis (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,50.00
866144.00,2018-11-17,AKU-1825372,A9605200520,*Gal. sparno galin? dalis MP4-4 pastabos (naudota),1.00,vnt.,1.00 vnt.,Kauno realizacija,95.00
866323.00,2018-11-17,AKU-1825373,A9608324193,Aušinimo žarna (naudota),1.00,vnt.,1.00 vnt.,Kauno realizacija,6.51
866593.00,2018-11-18,AKU-1825434,13-03-01-0191,Lemput?,1.00,vnt.,1.00 vnt.,Šiauli? servisas,3.22
867956.00,2018-11-13,DKS-0008098,200559,Prožektorius LED BERNER,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,10.46
868871.00,2018-11-13,AKU-1824989,A9608801920,Valytuv? panel?s rankena d.p (naudota),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,7.36
870662.00,2018-11-15,AKU-1825170,A9023570651,Žiedas ABS,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.98
872036.00,2018-11-14,AKU-1825126,A0015451809,Daviklis blokiruot?s (naudotas),1.00,vnt.,1.00 vnt.,Šiauli? servisas,15.00
872245.00,2018-11-14,AKU-1825092,13515,Lemput? T4W 24V OSRAM,2.00,vnt.,2.00 vnt.,Vilniaus servisas,1.02
873399.00,2018-11-14,AKU-1825121,13557,Lemput? 24V 21W geltona OSRAM,3.00,vnt.,3.00 vnt.,Šiauli? servisas,4.60
876696.00,2018-11-15,AKU-1825211,A0149974647,+Riebokšlis alk. priekinis OM 402 105x130x12,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,43.99
878062.00,2018-11-16,AKU-1825352,A9302600263,*Pavar? perjungimo cilindras MP3-15  (naudotas),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,414.00
878932.00,2018-11-16,AKU-1825322,A2761800009,Tepalo filtras,1.00,vnt.,1.00 vnt.,Kauno realizacija,14.05
879033.00,2018-11-16,AKU-1825364,768812,Dirželis laidams 7.8x380 BERNER,7.00,vnt.,7.00 vnt.,Vilniaus servisas,0.81
879907.00,2018-11-16,AKU-1825337,A0129970745,Sandarinimo žiedas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,2.97
880285.00,2018-11-18,AKU-1825431,A0009970279,*Oro numetimo vamzdis 290cm MP109 Pastabos(naudotas),1.00,vnt.,1.00 vnt.,Šiauli? servisas,9.50
880691.00,2018-11-13,AKU-1824990,11092,Apkaba ABA 68-85 BERNER,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,4.16
880785.00,2018-11-13,AKU-1825000,1318-0202-060-000,Dantra?i? RMK VDO,1.00,vnt.,1.00 vnt.,Vilniaus servisas,42.50
